# Ligand1,Ligand2,exp_DDG, exp_dDDG,calc_DDG, calc_dDDG(MBAR), calc_dDDG(additional)
# 5ns using amber14SB/gaff-2.11/tip3p with 11 windows REPEX
# THIS IS WIP
1d, 7a, -0.030, 0.000, -1.127, 0.308, 0.000
1b, 1c, 0.100, 0.000, 0.563, 0.173, 0.000
6a, 1b, -0.720, 0.000, -0.443, 0.215, 0.000
3a, 1b, 0.140, 0.000, 0.540, 0.141, 0.000
1b, 7a, -0.240, 0.000, -1.993, 0.271, 0.000
3a, 1d, -0.070, 0.000, 1.590, 0.163, 0.000
6e, 6b, -0.020, 0.000, -0.684, 0.213, 0.000
1d, 6e, 0.660, 0.000, -0.157, 0.246, 0.000
1b, 1a, -0.980, 0.000, -0.880, 0.272, 0.000
1b, 3b, -0.600, 0.000, -1.758, 0.267, 0.000
1d, 1c, 0.310, 0.000, -0.130, 0.182, 0.000
1d, 1a, -0.770, 0.000, -1.731, 0.430, 0.000
1a, 5, 0.100, 0.000, -0.924, 0.129, 0.000
1d, 5, -0.670, 0.000, -2.121, 0.237, 0.000
6a, 6b, -0.290, 0.000, -0.948, 0.206, 0.000
1a, 3b, 0.380, 0.000, -0.283, 0.259, 0.000
